INN,STATUS,DATE
1001011293,"активное","14.08.2002"
1001014456,"ликвидированное","10.2017"
1001014463,"активное","30.05.2011"
1001023027,"ликвидированное","02.2019"
1001098135,"активное","10.11.2002"
1001133245,"активное","23.11.2002"
1001142828,"ликвидированное","02.2015"
1001150025,"активное","09.12.2003"
1001159998,"активное","14.12.2004"
1001165007,"активное","18.05.2005"
1001165871,"активное","17.06.2005"
1001168907,"активное","26.09.2005"
1001169442,"активное","12.10.2005"
1001170504,"активное","16.11.2005"
1001171064,"активное","30.11.2005"
1001177179,"активное","12.05.2006"
1001177690,"активное","24.05.2006"
1001186769,"активное","22.01.2007"
1001191374,"ликвидированное","04.2017"
1001208405,"активное","04.05.2008"
1001209448,"активное","26.05.2008"
1001209455,"ликвидированное","10.2018"
1001216678,"активное","22.11.2008"
1001220360,"активное","16.03.2009"
1001221300,"активное","10.04.2009"
1001221942,"ликвидированное","05.2019"
1001223160,"ликвидированное","12.2018"
1001224534,"ликвидированное","05.2019"
1001227341,"активное","28.10.2009"
1001229765,"активное","19.01.2010"
1001236748,"активное","06.08.2010"
1001243784,"активное","15.02.2011"
1001244121,"активное","21.02.2011"
1001245460,"активное","24.03.2011"
1001248197,"активное","24.08.2011"
1001255236,"ликвидированное","04.2017"
1001256173,"ликвидированное","05.2019"
1001256416,"ликвидированное","07.2015"
1001257459,"ликвидированное","09.2018"
1001257473,"ликвидированное","01.2020"
1001258519,"активное","14.05.2012"
1001258935,"ликвидированное","06.2016"
1001259329,"активное","07.06.2012"
1001267560,"активное","06.02.2013"
1001268620,"активное","05.03.2013"
1001269221,"активное","22.03.2013"
1001269870,"ликвидированное","12.2019"
1001269944,"активное","05.04.2013"
1001277906,"активное","27.11.2013"
1001280049,"активное","04.02.2014"
1001282208,"в стадии ликвидации","03.2014"
1001282261,"активное","27.03.2014"
1001282617,"активное","04.04.2014"
1001286851,"активное","13.08.2014"
1001287502,"активное","27.08.2014"
1001289531,"ликвидированное","10.2018"
1001289605,"активное","28.10.2014"
1001290689,"активное","03.12.2014"
1001291820,"активное","12.01.2015"
1001292478,"активное","30.01.2015"
1001298776,"активное","14.07.2015"
1001300827,"активное","09.09.2015"
1001308752,"ликвидированное","06.2019"
1001309700,"в стадии ликвидации","04.2016"
1001310039,"активное","19.04.2016"
1001310600,"активное","10.05.2016"
1001311040,"активное","19.05.2016"
