INN,52_1,26_1,10_1,205_1,186_1,18_1,48_1,60_1,198_1,233_1,160_1,142_1,227_1,114_1,22_1,50_1,133_1,24_1,curr_year,is_closed
3524011573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,1
2308125775,0,191840000,0,1236000,0,0,0,220000,0,0,0,0,100000,2498000,18400000,500000,0,0,2012,0
2319039045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,0
2536183021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,1
2536184882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,0
2536180729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,0
3444172688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,1
3444137154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,1
2722058236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,1
2302052792,0,59996000,0,28585000,0,0,0,0,0,0,0,0,0,0,11406000,0,0,0,2012,0
2466140416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,0
3663060232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,1
105048987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,1
3328443930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,1
3664071614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,1
2312135511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,1
2720034166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,1
3436108061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,1
2801120374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,1
3662143197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,0
3665073290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,1
5250045518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,1
5250045726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,1
5263072830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,1
5260295066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,0
2721181734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,1
2454021453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,1
2204053879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,1
2225116350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,0
3443103145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,0
3443103226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,1
3445115749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,1
2320189214,0,62000,0,0,0,0,0,12000,0,0,0,0,0,0,0,0,0,0,2012,1
2312180955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,1
3254511396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,1
3666171741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,1
3664110976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,1
3664111095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,1
3443110022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,1
3444187349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,1
3442117145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,1
2308180840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,1
2310157340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,1
