INN,52_1,26_1,10_1,205_1,186_1,18_1,48_1,60_1,198_1,233_1,160_1,142_1,227_1,114_1,22_1,50_1,133_1,24_1,52_2,26_2,10_2,205_2,186_2,18_2,48_2,60_2,198_2,233_2,160_2,142_2,227_2,114_2,22_2,50_2,133_2,24_2,curr_year,is_closed
4339005986,172000,1873000,0,0,0,0,0,67000,172000,0,0,0,0,0,18000,0,0,0,137000,2172000,0,0,0,0,0,76000,137000,0,0,0,0,0,17000,0,0,0,2013,0
3665034372,0,13037000,0,0,0,0,0,0,0,0,0,0,0,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,0
4019000033,0,2073000,0,107000,0,0,0,0,0,0,0,0,0,0,0,269000,0,0,0,12000,0,109000,0,0,0,0,0,0,0,44000,0,0,0,269000,0,0,2013,1
3906052638,0,14813000,0,0,0,3862000,0,0,0,0,0,0,0,6000,0,0,0,511000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,0
3019005657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,1
6312116298,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,1
6318222743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,0
6321291257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,1
6321291289,0,6393000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,1
6324028920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,1
6316175209,0,323000,0,0,0,0,0,0,0,283000,0,0,0,0,0,0,0,0,0,524000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,1
6324029064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,1
6314036778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,1
2368003588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,1
2372003534,0,0,0,0,0,0,0,33000,0,0,0,0,0,13000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,0
3662175311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,1
3662177277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,1
3663093686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,1
3444193832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,1
3444194836,0,506000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,1
2225131655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,1
2225131743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,1
